発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1995-12-22,1,3,ACT,ケムコ,P-マンGB,"￥4,200","￥4,000代",0,,,,,,,,
1995-12-22,1,5,ACT,トミー,東京ディズニーランドミッキーのシンデレラ城ミステリーツアー,"￥4,200","￥4,000代",0,,,,,,,,
1995-12-27,1,4,RPG,カルチャーブレーン,忍たま乱太郎GB,"￥4,800","￥5,000代",0,,,,,,,,
1995-12-29,1,3,ACT,POW,ブロックくずしGB,"￥3,980","￥4,000代",0,,,,,,,,
1996-02-27,1,5,RPG,任天堂,ポケットモンスター赤,"￥3,980","￥4,000代",418,,田尻智,太田健程|森本茂樹|渡辺哲也|増田順一,田尻智|杉森建|西田敦子|藤原基史|森本茂樹,増田順一,"田尻智|たにぐち りょうすけ|野々村文宏|陣内弘之",宮本茂|川口孝司|石原恒和,
1996-02-27,1,5,RPG,任天堂,ポケットモンスター緑,"￥3,980","￥4,000代",404,,田尻智,太田健程|森本茂樹|渡辺哲也|増田順一,田尻智|杉森建|西田敦子|藤原基史|森本茂樹,増田順一,"田尻智|たにぐち りょうすけ|野々村文宏|陣内弘之",宮本茂|川口孝司|石原恒和,
1996-02-29,1,4,ETC,タカラ,くまのプー太郎宝さがしだ大入りゲームバトル,"￥3,980","￥4,000代",0,,,,,,,"Max Matsuura",
1996-03-22,1,5,FTG,タカラ,熱闘闘神伝,"￥4,660","￥4,500代",0,,,,,,,,
1996-04-26,1,5,FTG,タカラ,熱闘ザ・キング・オブ・ファイターズ'95,"￥4,500","￥4,500代",0,,,,,,,,
1996-05-17,1,1,TBL,ヘクト,連珠倶楽部五目ならべ,"￥2,480","￥2,500代",0,,,,,,,,
1996-06-21,1,5,SPT,スターフィッシュ,バスフィッシング達人手帳,"￥9,800","￥10,000代",0,,,,,,,,
1996-07-21,1,5,ETC,ナムコ,ナムコギャラリーvol.1,"￥3,980","￥4,000代",0,,,,,,,,
1996-07-21,1,6,ACT,ハドソン,ボンバーマンコレクション,"￥3,980","￥4,000代",0,,,,,,,,
1996-07-21,1,5,PZL,任天堂,モグラーニャ,"￥3,900","￥4,000代",0,,亀山雅之,星野義明|安間基夫,渡辺直樹|高橋英子|あおきのりこ,阪東太郎,,宮本茂,
1996-08-09,1,6,ETC,ハドソン,桃太郎コレクション,"￥3,980","￥4,000代",0,,,,,,,,
1996-08-23,1,6,FTG,タカラ,熱闘サムライスピリッツ斬九郎無双剣,"￥4,500","￥4,500代",0,,,,,,,,
1996-09-13,1,6,ETC,カルチャーブレーン,スーパーチャイニーズランド1・2・3,"￥3,980","￥4,000代",0,,,,,,,,
1996-09-27,1,6,FTG,カルチャーブレーン,SD飛龍の拳外伝2,"￥4,200","￥4,000代",0,,,,,,,,
1996-09-27,1,3,RAC,UBIソフト,ストリートレーサー,"￥4,980","￥5,000代",0,,,,,,,,
1996-09-27,1,5,SPT,トンキンハウス,スポーツコレクション,"￥3,980","￥4,000代",0,,,,,,,,
1996-10-15,1,5,RPG,任天堂,ポケットモンスター青,"￥3,000","￥3,000代",201,,田尻智,太田健程|森本茂樹|渡辺哲也|増田順一,田尻智|杉森建|西田敦子|藤原基史|森本茂樹,増田順一,"田尻智|たにぐち りょうすけ|野々村文宏|陣内弘之",宮本茂|川口孝司|石原恒和,
1996-10-19,1,5,PZL,任天堂,ピクロス2,"￥3,000","￥3,000代",0,,石原恒和,緒方旗生|北脇啓,,上野利幸,,川口孝司|中山誠,
1996-10-26,1,5,PZL,任天堂,ヨッシーのパネポン,"￥3,000","￥3,000代",0,,,,,,,,
1996-11-01,1,4,PZL,カルチャーブレーン,パズル忍たま乱太郎,"￥3,980","￥4,000代",0,,,,,,,,
1996-11-22,1,6,ACT,ハドソン,原人コレクション,"￥3,980","￥4,000代",0,,,,,,,,
1996-11-22,1,5,RPG,チュンソフト,不思議のダンジョン風来のシレンGB～月影村の怪物～,"￥3,900","￥4,000代",0,,長畑成一郎,小川一美,冨江慎一郎|長谷川薫|田中信二,すぎやまこういち,冨江慎一郎,中村光一,
1996-11-23,1,5,ACT,任天堂,ドンキーコングランド,"￥3,000","￥3,000代",0,,,クリス・サザーランド,グレッグ・メイレス|アンドリュー・コラード|スティーヴ・メイレス,デビッド・ワイズ,リー・ラブデー(英語版),グレッグ・メイレス(英語版),
1996-11-29,1,5,ETC,ナムコ,ナムコギャラリーvol.2,"￥3,980","￥4,000代",0,,,,,,,,
1996-11-29,1,5,ETC,ココナッツジャパンエンターテイメント,パチ夫くんゲームギャラリー,"￥4,300","￥4,500代",0,,,,,,,,
1996-12-02,1,4,ACT,バンダイ,クレヨンしんちゃんオラのごきげんコレクション,"￥3,980","￥4,000代",0,,,,,吹田明仁,,磯貝健夫,
1996-12-02,1,4,ACT,ハドソン,ボンバーマンGB3,"￥3,980","￥4,000代",0,,ビル・リッチ,荒居弘之|阿部幸絵,窪田英之|水野祥司|吉見直人|佐藤梢,福田裕彦,,井上佳典,
1996-12-06,1,6,ETC,ハドソン,桃太郎コレクション2,"￥3,980","￥4,000代",0,,,,,,,,
1996-12-13,1,4,RPG,バンダイ,ゲゲゲの鬼太郎妖怪創造主現る！,"￥4,500","￥4,500代",0,,,たじませいいち,はただまなぶ|龍石堂浩二,わたなべよしお,,柳川絵奈,
1996-12-13,1,4,PZL,コンパイル,ぽけっとぷよぷよ通,"￥3,900","￥4,000代",0,,,,,,,,
1996-12-13,1,4,ETC,イマジニア,合格ボーイシリーズ英単語ターゲット1900,"￥2,050","￥2,000代",0,,,,,,,,
1996-12-21,1,3,PZL,ケムコ,スヌーピーのはじめてのおつかい,"￥3,980","￥4,000代",0,,,,,,,,
1996-12-21,1,4,ACT,トミー,みどりのマキバオー,"￥3,900","￥4,000代",0,,,,和泉成彦,松野恭平,つの丸,,
1996-12-27,1,4,PZL,ジャレコ,テトリスプラス,"￥3,980","￥4,000代",0,,,,,,,,
1996-12-27,1,5,SLG,Jウィング,ミニ4ボーイ,"￥4,980","￥5,000代",0,,,,,,,,
1996-12-27,1,4,ADV,バンダイ,名探偵コナン地下遊園地殺人事件,"￥3,980","￥4,000代",0,,,,,,,,
1996-12-28,1,6,ACT,カルチャーブレーン,スーパーチャイニーズファイターGB,"￥3,980","￥4,000代",0,,,,,,,,
1996-12-28,1,6,SPT,スターフィッシュ,スーパーブラックバスポケット,"￥4,980","￥5,000代",0,,,,,,,,
1997-01-24,1,4,ETC,イマジニア,合格ボーイシリーズセットで覚える日本史ターゲット201,"￥2,050","￥2,000代",0,,,,,,,,
1997-01-25,1,4,PZL,任天堂,カービィのきらきらきっず,"￥3,000","￥3,000代",0,,山上仁志,迫田勝弘,小澤和|能登谷哲也,石川淳|安藤浩和,,岩田聡|菅浩秋,
1997-01-31,1,2,PZL,やのまんゲームズ,ズープ,"￥2,800","￥3,000代",0,,,,,,,,
1997-02-01,1,4,ACT,任天堂,ゲームボーイギャラリー,"￥3,000","￥3,000代",0,,山上仁志,高瀬栄|広尾敏文|やまざきたけし,城山功|たちばなえいじ,水田陽子|杉田仁,,出石武宏,
1997-02-21,1,5,RPG,日本システムサプライ,チャルボ55SUPERPUZZLEACTION,"￥3,800","￥4,000代",0,,,,,,,,
1997-02-28,1,5,ETC,タイトー,タイトーバラエティパック,"￥3,800","￥4,000代",0,,,,,,,,
1997-03-28,1,4,ETC,イマジニア,合格ボーイシリーズ大学入試出る順英熟語ターゲット1000,"￥2,480","￥2,500代",0,,,,,,,,
1997-04-25,1,4,PZL,ハドソン,セームゲーム,"￥3,480","￥3,500代",0,,,,,,,,
1997-05-01,1,5,ETC,小学館,ドラえもんのスタディボーイ1小一こぐご・かん字,"￥2,850","￥3,000代",0,,,,,,,,
1997-05-01,1,5,ETC,小学館,ドラえもんのスタディボーイ2小一さんすう・けいさん,"￥2,850","￥3,000代",0,,,,,,,,
1997-05-23,1,5,SLG,アスキー,ミニ四駆GBLet's＆Go！！,"￥4,900","￥5,000代",0,,,,,,,,
1997-06-01,1,5,ETC,小学館,ドラえもんのスタディボーイ4小二国語・かん字,"￥2,850","￥3,000代",0,,,,,,,,
1997-06-01,1,5,ETC,小学館,ドラえもんのスタディボーイ5小二算数・計算,"￥2,850","￥3,000代",0,,,,,,,,
1997-06-20,1,6,SPT,スターフィッシュ,スーパーブラックバスポケット2,"￥3,980","￥4,000代",0,,,,,,,,
1997-06-27,1,5,SLG,バンダイ,ゲームで発見！！たまごっち,"￥4,500","￥4,500代",145,,,,,,,,
1997-06-27,1,5,SLG,ハドソン,ゲームボーイウォーズTURBO,"￥4,200","￥4,000代",0,,,,,,,,
1997-06-27,1,4,ETC,イマジニア,合格ボーイシリーズ高校入試でる順中学英単語1700,"￥2,480","￥2,500代",0,,,,,,,,
1997-06-27,1,4,?,ハドソン,ゲームボーイウォーズTurboファミ通版,非売品,#VALUE!,0,,,,,,,,
1997-07-11,1,4,ETC,イマジニア,Z会合格ボーイシリーズZ会究極の英単語1500,"￥2,000","￥2,000代",0,,,,,,,,
1997-07-11,1,5,SLG,バンダイ,ゲームで発見！！たまごっちピンクなTAMAGOTCHセット,"￥11,000","￥11,000代",145,,,,,,,,
1997-07-11,1,5,ACT,ハドソン,スーパービーダマンファイティングフェニックス,"￥3,980","￥4,000代",0,,,,,,,,
1997-07-18,1,3,ACT,ケムコ,それゆけ！キッド,"￥3,980","￥4,000代",0,,,,,,上原正三ほか,小泉美明(テレビ朝日)|阿部征司(東映),
1997-07-18,1,5,SLG,キッド,ポケットラブ,"￥4,800","￥5,000代",0,,なかむらまさき(中村正樹),しみずけんじ,市川久祥|ほそだたかあき(細田貴昭)|さとうひでゆき(佐藤英之)|さっぽろももこ,塩田信之,さっぽろももこ,,
1997-07-25,1,5,ETC,ナムコ,ナムコギャラリーvol.3,"￥3,980","￥4,000代",0,,,,,,,,
1997-07-25,1,3,TBL,ボトムアップ,ポケット麻雀,"￥3,980","￥4,000代",0,,,,,,,,
1997-07-25,1,4,ETC,イマジニア,合格ボーイシリーズ高校入試出る順中学英熟語3500,"￥2,480","￥2,500代",0,,,,,,,,
1997-07-25,1,4,SLG,光栄,名作シリーズ三国志ゲームボーイ版,"￥4,800","￥5,000代",0,,,,,,,,
1997-07-25,1,3,SLG,光栄,名作シリーズ信長の野望ゲームボーイ版,"￥3,980","￥4,000代",0,,,,,,,,
1997-08-08,1,5,FTG,タカラ,熱闘ザ・キング・オブ・ファイターズ'96,"￥3,980","￥4,000代",0,,,,,,,,
1997-08-08,1,4,TBL,タカラ,THEGAMEOFLIFE人生ゲーム(廉価版),"￥3,980","￥4,000代",0,,,,,,,,
1997-08-12,1,4,RAC,トミー,マッハGoGoGo,"￥4,800","￥5,000代",0,,,,須田正己|堀井敏之|小川浩|吉田すずか,稲葉光秀,竜の子プロダクション,,
1997-08-22,1,4,SLG,Jウィング,ディノブリーダー,"￥4,800","￥5,000代",0,,くれやまと,まつながちえみ|山本哲也,"永島三人|ロボロフスキー|舟橋正恭|ZA-ZA KOBAYASHI","NIKAIUTA UOH",,,
1997-08-29,1,4,PZL,アテナ,マネーアイドルエクスチェンジャー,"￥3,980","￥4,000代",0,,,PIGGY,STARMAN|石田敦子,末村謙之輔|富樫則彦,,浅井健吾,
1997-08-29,1,4,ETC,イマジニア,"合格ボーイシリーズ高校入試“でる順""漢字問題の征服","￥2,480","￥2,500代",0,,,,,,,,
1997-09-19,1,5,RPG,パック・イン・ソフト,川のぬし釣り3,"￥3,600","￥3,500代",0,,,まつもとしん,有田和博,水田陽子,,宮沢徹|石川真理子,
1997-09-25,1,5,ETC,コナミ,コナミGBコレクションvol.1,"￥3,980","￥4,000代",0,,,,,,,,
1997-09-26,1,4,ETC,イマジニア,合格ボーイシリーズ「解体英熟語」完全準拠Z会究極の英熟語1017,"￥2,000","￥2,000代",0,,,,,,,,
1997-09-26,1,4,TBL,スターフィッシュ,おやつクイズもぐもぐQTHEQUIZGAME,"￥3,500","￥3,500代",0,,,,,,,,
1997-09-26,1,2,TBL,ココナッツジャパンエンターテイメント,カードゲーム(ハッピープライス),"￥2,980","￥3,000代",0,,,,,,,,
1997-09-26,1,3,TBL,ココナッツジャパンエンターテイメント,シーザースパレス(ハッピープライス),"￥2,980","￥3,000代",0,,,,,,,,
1997-09-26,1,3,RAC,ココナッツジャパンエンターテイメント,フェラーリ(ハッピープライス),"￥2,980","￥3,000代",0,,,,,,,,
1997-09-26,1,5,RAC,Jウィング,ミニ4ボーイ2ファイナルエボリューション,"￥4,800","￥5,000代",0,,,,,,,,
1997-09-26,1,3,SPT,ココナッツジャパンエンターテイメント,ワールドカップストライカー(ハッピープライス),"￥2,980","￥3,000代",0,,,,,,,,
1997-09-26,1,4,ETC,イマジニア,合格ボーイシリーズ高校入試歴史年代あんきポイント240,"￥2,480","￥2,500代",0,,,,,,,,
1997-09-27,1,5,ETC,任天堂,ゲームボーイギャラリー2,"￥3,000","￥3,000代",0,,山上仁志,高瀬栄|広尾敏文|やまざきたけし,城山功|たちばなえいじ,水田陽子|杉田仁,,出石武宏,
1997-10-01,1,4,ETC,イマジニア,合格ボーイシリーズ高校入試理科あんきポイント250,"￥2,480","￥2,500代",0,,,,,,,,
1997-10-10,1,3,PZL,BPS,スーパーボンブリス(再版),"￥3,980","￥4,000代",0,,,,,,,,
1997-10-17,1,5,SLG,Jウィング,あにまるぶりーだー,"￥4,800","￥5,000代",0,,,,,,,,
1997-10-17,1,5,SLG,バンダイ,ゲームで発見！！たまごっち2,"￥4,286","￥4,500代",145,,,,,,,,
1997-10-17,1,5,ADV,アトラス,プリクラポケット不完全女子高校性マニュアル,"￥3,980","￥4,000代",0,,,,,,,,
1997-10-31,1,4,ETC,イマジニア,合格ボーイシリーズよく使われる英検2級レベルの会話表現333,"￥2,480","￥2,500代",0,,,,,,,,
1997-11-21,1,4,ETC,ナグザット,コレクションポケット,"￥3,980","￥4,000代",0,,,,,,,,
1997-11-27,1,4,ACT,コナミ,悪魔城ドラキュラ～漆黒たる前奏曲～,"￥3,980","￥4,000代",0,,山下幸紀,山口佳輝,内田和伸,岡田蘭|岩田陽一,,福井博幸,
1997-11-28,1,4,ETC,イマジニア,会合格ボーイシリーズ「解体英語構文」完全準拠Z会究極の英語構文285,"￥2,480","￥2,500代",0,,,,,,,,
1997-11-28,1,3,TBL,ボトムアップ,トランプコレクション,"￥3,980","￥4,000代",0,,,,,,,,
1997-11-28,1,5,RPG,イマジニア,メダロット(カブトバージョン),"￥3,980","￥4,000代",0,,,,,,,,
1997-11-28,1,5,RPG,イマジニア,メダロット(クワガタバージョン),"￥3,980","￥4,000代",0,,,,,,,,
1997-11-29,1,5,SLG,アトラス,プリクラポケット2彼氏改造大作戦,"￥3,980","￥4,000代",0,,,,,,,,
1997-12-01,1,5,ETC,小学館,ドラえもんのスタディボーイ3九九マスター,"￥2,850","￥3,000代",0,,,,,,,,
1997-12-04,1,4,ACT,コナミ,がんばれゴエモン～黒船党の謎～,"￥3,980","￥4,000代",0,,山下幸紀,近藤誠|福井博幸,永井真,岡田蘭|岩田陽一|田中理恵,,福井博幸,
1997-12-05,1,4,ETC,イマジニア,サンリオうらないパーティ,"￥2,980","￥3,000代",0,,,,,,,,
1997-12-11,1,5,ETC,コナミ,コナミGBコレクションvol.2,"￥3,980","￥4,000代",0,,,,,,,,
1997-12-12,1,5,ACT,ハドソン,ポケットボンバーマン,"￥3,980","￥4,000代",0,,,,,竹間淳(6曲)|矢野慎也,,,
1997-12-12,1,5,SLG,バンプレスト,超魔神英雄伝ワタルまぜっこモンスター,"￥3,800","￥4,000代",0,,,,,,,,
1997-12-19,1,4,ACT,スターフィッシュ,カラムー町の大事件,"￥3,800","￥4,000代",0,,,,,,,,
1997-12-19,1,4,PZL,アクセラ,スタースイープ,"￥3,800","￥4,000代",0,,,,,,,,
1997-12-19,1,4,ACT,ケムコ,バックスバニーコレクション,"￥3,480","￥3,500代",0,,,,,,,,
1997-12-19,1,5,SLG,パック・イン・ソフト,牧場物語GB,"￥3,980","￥4,000代",0,,,"SHIN SHIN|おにがわらのぶやす|ちゅうそんじきよと",和田康宏|まつやまいぐさ,田中剛,,和田康宏,
1997-12-26,1,3,ETC,ココナッツジャパンエンターテイメント,パチスロキッズ(ハッピープライス),"￥2,980","￥3,000代",0,,,,,,,,
1997-12-26,1,3,ETC,ココナッツジャパンエンターテイメント,パチスロキッズ2(ハッピープライス),"￥2,980","￥3,000代",0,,,,,,,,
1998-01-01,1,6,ETC,小学館,ドラえもんのスタディボーイ6学習漢字マスター1006,"￥2,850","￥3,000代",0,,,,,,,,
1998-01-10,1,5,ETC,新学社,ポケット漢字郎,"￥3,800","￥4,000代",0,,,,,,,,
1998-01-15,1,5,SLG,バンダイ,ゲームで発見！！たまごっちオスっちとメスっち,"￥4,286","￥4,500代",145,,,,,,,,
1998-01-30,1,2,TBL,アルトロン,ニューチェスマスター,"￥4,500","￥4,500代",0,,,,,,,,
1998-01-30,1,4,ETC,イマジニア,合格ボーイシリーズ学研慣用句・ことわざ210,"￥1,990","￥2,000代",0,,,,,,,,
1998-01-30,1,4,ETC,イマジニア,合格ボーイシリーズ学研小学校高学年レベル入試に出た要点ランク順四字熟語288,"￥1,990","￥2,000代",0,,,,,,,,
1998-02-19,1,5,ETC,コナミ,コナミGBコレクションvol.3,"￥3,980","￥4,000代",0,,,,,,,,
1998-02-20,1,4,SLG,ショウエイシステム,NAVYBLUE98,"￥3,980","￥4,000代",0,,,,,,,,
1998-02-21,1,6,ETC,任天堂,ポケットカメラ,"￥5,775","￥6,000代",0,,,,,,,,
1998-02-27,1,5,SLG,ハドソン,ネクタリスGB,"￥4,200","￥4,000代",0,,,,,,,,
1998-02-27,1,4,ADV,トミー,ポケットキョロちゃん,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-05,1,5,TBL,ハドソン,大貝獣物語ザ・ミラクル・オブ・ザ・ゾーン,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-06,1,5,RPG,光栄,もんすたあ★レース,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-06,1,4,RAC,講談社,頭文字D外伝,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-13,1,4,ETC,日本テレネット,パチンコCR大工の源さんGB,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-13,1,6,SLG,キッド,ポケットラブ2,"￥4,800","￥5,000代",0,,なかむらまさき,さいきただとし,市川久祥|さとうひでゆき|さっぽろももこ|じぇねらるわたなべ,やまさん,さっぽろももこ|のむら♥まりか,,
1998-03-19,1,5,ETC,コナミ,コナミGBコレクションvol.4,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-20,1,4,ETC,イマジニア,合格ボーイシリーズZ会<例文で覚える>中学英単語1132,"￥2,000","￥2,000代",0,,,,,,,,
1998-03-20,1,5,SLG,アイマックス,カンヅメモンスター,"￥4,500","￥4,500代",0,,,,,,,,
1998-03-20,1,4,RAC,エポック社,ドラえもんカート,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-20,1,5,RPG,イマジニア,メダロットパーツコレクション,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-20,1,5,ETC,イマジニア,合格ボーイシリーズ山川一問一答世界史B用語問題集,"￥2,480","￥2,500代",0,,,,,,,,
1998-03-26,1,5,RPG,コナミ,ゴッドメディスン復刻版,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-26,1,4,SPT,コナミ,パワプロGB,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-27,1,5,FTG,タカラ,熱闘リアルバウト餓狼伝説スペシャル,"￥3,980","￥4,000代",0,,,,,,,,
1998-04-10,1,3,PZL,タイトー,パズルボブルGB,"￥3,500","￥3,500代",0,,,丸山尋司|野口順一郎,中久木成一|木下一洋,中山上等兵,,,
1998-04-22,1,4,ETC,イマジニア,合格ボーイシリーズ桐原書店頻出英文法・語法問題1000,"￥2,480","￥2,500代",0,,,,,,,,
1998-04-22,1,5,ETC,イマジニア,合格ボーイシリーズ山川一問一答新課程日本史B用語問題集,"￥2,480","￥2,500代",0,,,,,,,,
1998-04-24,1,3,SPT,ボトムアップ,ポケットバスフィッシング,"￥3,980","￥4,000代",0,,,,,,,,
1998-05-01,1,5,RPG,ケムコ,SELECTIONI＆II選ばれし者＆暗黒の封印,"￥3,980","￥4,000代",0,,,,,,,,
1998-05-15,1,5,SLG,Jウィング,あにまるぶりーだー2,"￥4,800","￥5,000代",0,,,,,,,,
1998-05-22,1,4,SPT,トミー,日本代表チーム栄光のイレブン,"￥3,580","￥3,500代",0,,,,,,,,
1998-05-29,1,5,RPG,イマジニア,メダロットパーツコレクション2,"￥3,980","￥4,000代",0,,,,,,,,
1998-05-29,1,4,ETC,イマジニア,合格ボーイシリーズ学研小学校高学年レベル入試に出た要点ランク順歴史512,"￥1,990","￥2,000代",0,,,,,,,,
1998-06-04,1,5,SPT,コナミ,ワールドサッカーGB,"￥3,980","￥4,000代",0,,,,,,,,
1998-06-05,1,5,SLG,Jウィング,ディノブリーダー2,"￥4,800","￥5,000代",0,,くれやまと,まつながちえみ|山本哲也,"永島三人|ロボロフスキー|舟橋正恭|ZA-ZA KOBAYASHI","NIKAIUTA UOH",,,
