発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,価格帯,売り上げ本数TOP50,ハード,👥クリエイターズ,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？,
1983-07-15,-,1,ACT,任天堂,ドンキーコング,"￥4,500","￥4,500代",88,1,,宮本茂,"駒野目裕久|飯沼実|西田充裕|村田泰裕(AC) |中郷俊彦(FC)",宮本茂,兼岡行男,,山内溥|横井軍平(AC)|上村雅之(FC),🟥赤,AC移植,-,19位,-,
1983-07-15,-,1,ACT,任天堂,ドンキーコングJr.,"￥4,500","￥4,500代",0,1,,,緒方旗生(AC)|中郷俊彦(FC),宮本茂|宮本茂|坂本賀勇,兼岡行男,,横井軍平|岡田智(AC)|上村雅之(FC)|山内溥,⬜白,AC移植,-,-,-,
1983-07-15,-,1,ACT,任天堂,ポパイ,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1983-08-27,-,1,TAB,任天堂,五目ならべ連珠,"￥4,500","￥4,500代",0,1,,,,,兼岡行男,,,◾黒,-,-,-,-,
1983-08-27,-,1,TAB,任天堂,麻雀,"￥4,500","￥4,500代",213,1,,,,,,,,-,-,-,-,-,
1983-09-09,-,1,ACT,任天堂,マリオブラザーズ,"￥4,500","￥4,500代",163,1,,,,宮本茂,兼岡行男,,山内溥|横井軍平,🟨黄,対戦+AC移植,01位,10位,-,
1983-11-22,-,1,ETC,任天堂,ポパイの英語遊び,"￥4,500","￥4,500代",0,1,,,,,,,宮本茂,-,-,-,-,-,
1983-12-07,-,1,SPT,任天堂,ベースボール,"￥4,500","￥4,500代",235,1,,,,,,,,🟦青,対戦,12位,-,-,
1983-12-12,-,1,ETC,任天堂,ドンキーコングJr.の算数遊び,"￥4,500","￥4,500代",0,1,,,中郷俊彦,宮本茂,兼岡行男,,山内溥|上村雅之,-,-,-,-,-,
1984-01-14,-,1,SPT,任天堂,テニス,"￥4,500","￥4,500代",156,1,,,,,,,,-,対戦,16位,-,-,
1984-02-02,-,1,TAB,任天堂,ピンボール,"￥4,500","￥4,500代",0,1,,,,,,,,🟨黄,-,-,08位,-,
1984-02-18,-,1,SHT,任天堂,ワイルドガンマン,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1984-04-21,-,1,SHT,任天堂,ダックハント,"￥4,500","￥4,500代",0,1,,,,清武博二,田中宏和,,横井軍平,-,-,-,-,-,
1984-05-01,-,1,SPT,任天堂,ゴルフ,"￥4,500","￥4,500代",246,1,,,,,,,,🟦青,-,-,-,-,
1984-06-12,-,1,SHT,任天堂,ホーガンズアレイ,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1984-06-21,-,2,ETC,任天堂,ファミリーベーシック,"￥14,800","￥15,000代",0,1,,,,,,,,-,-,-,-,-,
1984-07-04,-,1,SHT,任天堂,ドンキーコング3,"￥4,500","￥4,500代",0,1,,,,宮本茂|宮本茂|坂本賀勇,田中宏和,,山内博(エグゼクティブ・プロデューサー)|横井軍平|岡田智,🟥赤,-,-,-,-,
1984-07-28,-,1,ACT,ハドソン,ナッツ＆ミルク,"￥4,500","￥4,500代",0,1,,,菊田昌昭|野沢勝広,菊田昌昭,,,,🟦青,-,-,-,-,
1984-07-31,-,1,PZL,ハドソン,ロードランナー,"￥4,500","￥4,500代",110,1,,,,ダグラス・E・スミス,,,,🟨黄,PC移植,-,-,-,
1984-09-07,-,1,SHT,ナムコ,ギャラクシアン,"￥4,500","￥4,500代",0,1,,,田城幸一,澤野和則(企画)|石村繁一(基板設計)|山下正|中馬義明|小野浩,石村繁一|安江正樹|甲斐敏夫,,,-,AC移植,-,-,-,
1984-10-05,-,1,ACT,任天堂,デビルワールド,"￥4,500","￥4,500代",0,1,,宮本茂,湯上裕之,手塚卓志,中塚章人|近藤浩治,,山内溥(エグゼクティブ・プロデューサー)|宮本茂,🟦青,-,-,-,-,
1984-11-02,-,1,TAB,任天堂,4人打ち麻雀,"￥4,500","￥4,500代",145,1,,,,,,,,-,-,-,-,-,
1984-11-02,-,1,RAC,任天堂,F1レース,"￥4,500","￥4,500代",152,1,,,,,,,,-,-,-,-,-,
1984-11-02,-,1,ACT,ナムコ,パックマン,"￥4,500","￥4,500代",0,1,,,舟木茂雄,岩谷徹|山下正,石村繁一|甲斐敏夫,,,-,AC移植,-,18位,-,
1984-11-08,-,2,SHT,ナムコ,ゼビウス,"￥4,900","￥5,000代",127,1,,,遠藤雅伸|深谷正一|小島伸一,遠藤雅伸|池上正寿|佐藤誠市|岡本進一郎|遠山茂樹|遠藤雅伸|小野浩|山下正,慶野由利子,,,◾黒,AC移植,-,03位,-,
1984-11-14,-,1,ACT,任天堂,アーバンチャンピオン,"￥4,500","￥4,500代",0,1,,,,加納誠,田中宏和,,山内博(エグゼクティブ・プロデューサー)|横井軍平,🟦青,対戦,05位,-,-,
1984-11-14,-,1,ACT,ナムコ,マッピー,"￥4,500","￥4,500代",0,1,,,大野木宜幸|黒須一雄,佐藤英治(企画)|佐藤茂(基板設計)|小野浩(ドットデザイン),大野木宜幸,,,-,-,-,-,-,
1984-11-22,-,1,PZL,任天堂,クルクルランド,"￥4,500","￥4,500代",0,1,,,,加納誠|加納誠|清武博二,中塚章人,,山内博(エグゼクティブ・プロデューサー)|横井軍平,-,-,-,-,-,
1984-11-30,-,1,RAC,任天堂,エキサイトバイク,"￥5,500","￥5,500代",157,1,,宮本茂,中郷俊彦,前田実|手塚卓志,中塚章人,,山内溥|宮本茂,🟥赤,-,-,-,-,
1985-01-22,-,1,ACT,任天堂,バルーンファイト,"￥4,500","￥4,500代",0,1,,,"中郷俊彦| 副島康成(AC)|岩田聡(FC)",坂本賀勇,田中宏和,,山内溥|横井軍平,⬜白,対戦,07位,11位,-,
1985-01-30,-,1,ACT,任天堂,アイスクライマー,"￥4,500","￥4,500代",100,1,,三木研次,森田和明|中郷俊彦,宮本茂|杉山直,中塚章人,,山内溥|上村雅之,🟦青,対戦,06位,19位,-,
1985-02-11,-,1,SHT,ジャレコ,エクセリオン,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-02-21,-,2,ETC,任天堂,ファミリーベーシックV3,"￥9,800","￥10,000代",0,1,,,,,,,,-,-,-,-,-,
1985-02-22,-,1,SHT,ハドソン,バンゲリングベイ,"￥4,900","￥5,000代",0,1,,,,ウィル・ライト,,,,◾黒,-,-,-,20位,
1985-03-14,-,1,SHT,ナムコ,ギャラガ,"￥4,500","￥4,500代",0,1,,,小川徹,横山茂,大野木宜幸,,,-,AC移植,-,14位,-,
1985-04-04,-,1,SHT,ジャレコ,フォーメーションZ,"￥4,500","￥4,500代",0,1,,,,,渥美徳弘,,,-,AC移植,-,-,-,
1985-04-09,-,2,SPT,任天堂,サッカー,"￥4,900","￥5,000代",153,1,,,,,,,,-,-,-,-,-,
1985-04-17,-,1,SHT,タイトー,スペースインベーダー,"￥4,500","￥4,500代",0,1,,,西角友宏,西角友宏,亀井道行,,,-,AC移植,-,-,-,
1985-04-17,-,1,PZL,ハドソン,チャンピオンシップロードランナー,"￥4,900","￥5,000代",0,1,,,,ダグラス・E・スミス,,,,⬜白,-,-,-,13位,
1985-04-22,-,1,ACT,コナミ,イーアルカンフー,"￥4,500","￥4,500代",0,1,,,,,東野美紀,,,-,対戦+AC移植,14位,-,-,
1985-04-22,-,1,ACT,コナミ,けっきょく南極大冒険,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-05-10,-,1,ACT,ジャレコ,忍者くん魔城の冒険,"￥4,500","￥4,500代",0,1,,,西澤龍一|藤沢勉,西澤龍一|藤沢勉,,,,-,AC移植,-,-,-,
1985-05-24,-,1,PZL,タイトー,ちゃっくんぽっぷ,"￥4,500","￥4,500代",0,1,,,,,今村善雄,,,-,AC移植,-,-,-,
1985-06-04,-,1,ACT,ナムコ,ディグダグ,"￥4,500","￥4,500代",0,1,,,さかいとしお|深谷正一,池上まさとし,慶野由利子,,,-,AC移植,-,-,-,
1985-06-14,-,2,PZL,デービーソフト,フラッピー,"￥5,500","￥5,500代",0,1,,,,,,,,🟨黄,-,-,-,-,
1985-06-18,-,2,ACT,任天堂,レッキングクルー,"￥5,500","￥5,500代",0,1,,岡田智,"中村俊之|TOMOYO-chan|YASE SOBAJIMA|AKINA-chan",坂本賀勇|坂本賀勇|加納誠,田中宏和,,山内溥(エグゼクティブ・プロデューサー)|横井軍平,-,-,-,-,-,
1985-06-21,-,2,ACT,任天堂,スパルタンX,"￥4,900","￥5,000代",142,1,,,,,キース・モリソン,エドワード・タン|ジョニー・リー,,-,AC移植,-,-,-,
1985-06-21,-,1,SPT,コナミ,ハイパーオリンピック,"￥4,500","￥4,500代",0,1,,,森下繁,,福武茂,,石原祥吉,-,AC移植,-,-,-,
1985-06-21,-,2,SPT,コナミ,ハイパーオリンピック殿様版(限定発売),"￥4,500","￥4,500代",0,1,,,,,,,,-,AC移植,-,-,-,
1985-06-25,-,1,SHT,ハドソン,スターフォース,"￥4,900","￥5,000代",0,1,,,,,増子司|坂本慎一(ドライバー・効果音のみ),,,🟦青,AC移植,-,04位,-,
1985-06-28,-,2,ACT,タイトー,エレベーターアクション,"￥4,900","￥5,000代",0,1,,,,,今村善雄,,,-,AC移植,-,-,-,
1985-07-01,-,1,ACT,ジャレコ,フィールドコンバット,"￥4,500","￥4,500代",0,1,,,,,,,,-,AC移植,-,-,-,
1985-07-11,-,1,RAC,コナミ,ロードファイター,"￥4,500","￥4,500代",0,1,,,,,佐々木嘉則,,,-,-,-,-,-,
1985-07-12,-,1,ACT,ナムコ,ワープマン,"￥4,500","￥4,500代",0,1,,,深谷正一|大森田不可止,小野浩,慶野由利子|小沢純子|大野木宜幸,,,-,-,-,-,-,
1985-07-18,-,1,RAC,アイレム,ジッピーレース,"￥4,500","￥4,500代",0,1,,,,,高木一郎,,,-,-,-,-,-,
1985-07-18,-,1,PZL,エニックス,ドアドア,"￥4,900","￥5,000代",0,1,,,,中村光一,,,,-,-,-,-,-,
1985-07-25,-,1,ACT,サンソフト,スーパーアラビアン,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-07-26,-,2,ETC,任天堂,ブロック,"￥4,800","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-08-01,-,1,ACT,タイトー,フロントライン,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-08-01,-,1,TAB,セタ,本将棋内藤九段将棋秘伝,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-08-06,-,2,ACT,ナムコ,ドルアーガの塔,"￥4,900","￥5,000代",0,1,,,内藤智,遠藤雅伸|篠崎雄一郎,小沢純子,,,-,-,-,-,17位,
1985-08-09,-,2,ACT,アスキー,アストロロボSASA,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1985-08-13,-,2,ETC,任天堂,ジャイロ,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1985-08-28,-,2,SHT,アスキー,ゲイモス,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1985-08-30,-,1,SPT,アイレム,10ヤードファイト,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-09-09,-,1,ACT,ナムコ,バトルシティー,"￥4,500","￥4,500代",0,1,,,大久保良一,兵藤岳史|小野浩,小沢純子,,,-,-,-,-,-,
1985-09-13,-,2,ACT,任天堂,スーパーマリオブラザーズ,"￥4,900","￥5,000代",681,1,,宮本茂,中郷俊彦|森田和明|西田泰也,宮本茂|宮本茂|手塚卓志,近藤浩治,,山内溥|池田宏|宮本茂,🟨黄,-,-,06位,-,
1985-09-20,-,1,ACT,ハドソン,プーヤン,"￥4,900","￥5,000代",0,1,,藤原得郎,,藤原得郎,,,,⬜白,-,-,-,-,
1985-09-27,-,1,SPT,コナミ,ハイパースポーツ,"￥4,500","￥4,500代",0,1,,,町口浩康,,福武茂,,石原祥吉,-,-,-,-,-,
1985-09-27,-,1,RAC,ジャレコ,シティコネクション,"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,-,
1985-10-04,-,2,RAC,サンソフト,ルート16ターボ,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-10-15,-,2,ACT,ハドソン,チャレンジャー,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,15位,
1985-11-08,-,1,ACT,バンダイ,キン肉マンマッスルタッグマッチ,"￥4,900","￥5,000代",105,1,,,,,,,仲田隆司,🟥赤,対戦,09位,-,-,
1985-11-14,-,1,SHT,タイトー,スカイデストロイヤー,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-11-15,-,2,ACT,ポニーキャニオン,おにゃんこTOWN,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-11-15,-,1,ACT,ジャレコ,忍者じゃじゃ丸くん,"￥4,900","￥5,000代",100,1,,,,,,,関雅行,🟥赤,-,-,-,-,
1985-11-21,-,2,TAB,東芝ＥＭＩ,パチコン,"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,-,
1985-11-21,-,2,ACT,ナムコ,パックランド,"￥4,500","￥4,500代",0,1,,,岸本好弘,佐藤誠市|根來司|小野浩,慶野由利子,,,-,AC移植,-,-,-,
1985-11-21,-,2,RAC,任天堂,マッハライダー,"￥4,900","￥5,000代",0,1,,,,,金指英樹,,,🟦青,-,-,-,-,
1985-11-27,-,1,ACT,ナムコ,バーガータイム,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-11-28,-,1,ACT,サンソフト,いっき,"￥4,900","￥5,000代",0,1,,,,,小井洋明,,,⬜白,-,-,-,-,
1985-11-29,-,2,ADV,エニックス,ポートピア連続殺人事件,"￥5,500","￥5,500代",0,1,,堀井雄二,堀井雄二,堀井雄二,,堀井雄二,,◾黒,-,-,-,-,
1985-12-05,-,1,ACT,ソフトプロ,カラテカ,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-12-05,-,1,TAB,ポニーキャニオン,ルナーボール,"￥4,900","￥5,000代",0,1,,仁井谷正充,新谷憲司,新谷憲司,宮本昌知,,,🟨黄,-,-,-,-,
1985-12-06,-,2,SHT,ナムコ,スターラスター,"￥4,900","￥5,000代",0,1,,,,岡本進一郎|遠山茂樹,川田宏行,,,-,-,-,-,-,
1985-12-06,-,2,ACT,アイレム,スペランカー,"￥4,900","￥5,000代",0,1,,,,ティム・マーティン,,,,⬜白,-,-,-,07位,
1985-12-07,-,2,ACT,デービーソフト,高機動戦闘メカヴォルガードⅡ,"￥4,900","￥5,000代",0,1,,,,,斉藤康仁,,,-,-,-,-,-,
1985-12-10,-,1,ACT,ナムコ,超時空要塞マクロス,"￥4,500","￥4,500代",0,1,,石黒昇,,美樹本晴彦|宮武一貴|河森正治,羽田健太郎,山口宏,,-,-,-,-,-,
1985-12-11,-,2,SHT,カプコン,1942,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-12-11,-,2,ACT,ケムコ,ダウボーイ,"￥5,300","￥5,500代",0,1,,,,ケン・コーテス,,,,🟦青,-,-,-,-,
1985-12-14,-,2,RPG,アスキー,ボコスカウォーズ,"￥5,500","￥5,500代",0,1,,,,住井浩司,,,,-,-,-,-,-,
1985-12-14,-,2,SHT,デービーソフト,頭脳戦艦ガル,"￥4,900","￥5,000代",0,1,,,ボス大森|ナンデ西村,バッキー松野|テツ加倉,斉藤康仁,,ベティ林,⬜白,-,-,-,-,
1985-12-16,-,2,ACT,バンダイ,オバケのQ太郎ワンワンパニック,"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,08位,
1985-12-19,-,2,ACT,スクウェア,テグザー,"￥5,500","￥5,500代",0,1,,,,五代響|上坂哲,五代響,,,⬜白,-,-,-,-,
1985-12-19,-,1,PZL,ハドソン,バイナリィランド,"￥4,900","￥5,000代",0,1,,,菊田昌昭,菊田昌昭,,,,-,-,-,-,-,
1985-12-19,-,1,ACT,ハドソン,ボンバーマン,"￥4,900","￥5,000代",80,1,,,,,,,,◾黒,対戦,19位,15位,-,
1985-12-21,-,2,SHT,徳間書店,エグゼドエグゼス,"￥5,200","￥5,000代",0,1,,,青木隆,岡本吉起,河本圭代,,,🟨黄,-,-,-,-,
1985-12-21,-,2,PZL,徳間書店,ロットロット,"￥5,200","￥5,000代",0,1,,,,,,,,🟥赤,-,-,-,-,
1985-12-25,-,2,ACT,アスキー,ぺんぎんくんWARS,"￥5,500","￥5,500代",0,1,,,,藤沢勉,,,,-,-,-,-,-,
1986-01-04,-,2,SHT,コナミ,ツインビー,"￥4,900","￥5,000代",100,1,,,青山和浩,青山和浩,福武茂|佐々木嘉則,,廣下宏治,-,-,-,09位,-,
1986-02-08,-,2,ACT,カプコン,ソンソン,"￥4,900","￥5,000代",0,1,,,藤中博和,岡本吉起,河本圭代|森安也子,,,🟥赤,-,-,-,-,
1986-02-21,-,2,ACT,コナミ,グーニーズ,"￥4,900","￥5,000代",0,1,,,,,デイヴ・グルーシン,クリス・コロンバス,,-,-,-,-,-,
1986-03-01,-,2,SHT,東映動画,バルトロン,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-03-04,-,1,ACT,ソフトプロ,サーカスチャーリー,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-03-05,-,2,ACT,ハドソン,忍者ハットリくん忍者は修行でござるの巻,"￥4,900","￥5,000代",150,1,,,,,,,,-,-,-,-,-,
1986-03-13,-,2,SHT,タイトー,ジャイロダイン,"￥4,900","￥5,000代",0,1,,,,,弓削雅稔,,,-,-,-,-,-,
1986-03-18,-,2,RPG,東芝ＥＭＩ,ハイドライドスペシャル,"￥4,900","￥5,000代",0,1,,,,,,,,⬜白,-,-,-,-,
1986-03-19,-,2,SHT,日本物産,マグマックス,"￥4,900","￥5,000代",0,1,,藤原茂樹,,藤原茂樹,山田良一,,,-,-,-,-,-,
1986-04-02,-,2,ACT,ナムコ,タッグチームプロレスリング,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-04-17,-,2,SHT,ジャレコ,アーガス,"￥4,900","￥5,000代",0,1,,,中里民雄,,坂本慎一,,,-,-,-,-,-,
1986-04-17,-,2,ACT,サンソフト,アトランチスの謎,"￥4,900","￥5,000代",0,1,,,竹内昭人|酒井敦史,竹内昭人,小高直樹,,,⬜白,-,-,-,12位,
1986-04-17,-,2,ACT,バンダイ,ゲゲゲの鬼太郎妖怪大魔境,"￥4,900","￥5,000代",125,1,,,,,,,,-,-,-,-,-,
1986-04-18,-,2,ACT,タイトー,影の伝説,"￥4,900","￥5,000代",0,1,,,,,小倉久佳,,,◾黒,-,-,-,-,
1986-04-19,-,2,ACT,ナムコ,ディグダグⅡ,"￥4,500","￥4,500代",0,1,,,,,慶野由利子|小沢純子,,,-,-,-,-,-,
1986-04-24,-,2,ACT,テクモ,マイティボンジャック,"￥4,980","￥5,000代",0,1,,,,,増子司|蓮谷通治,,,🟨黄,-,-,-,06位,
1986-04-25,-,2,ACT,コナミ,グラディウス,"￥4,900","￥5,000代",100,1,,,,,,,,◾黒,-,-,05位,-,
1986-04-25,-,2,ETC,東京書籍,けいさんゲームさんすう1年,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-04-25,-,2,ETC,東京書籍,けいさんゲーム算数2年,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-04-25,-,2,ETC,東京書籍,けいさんゲーム算数3年,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-04-26,-,2,ACT,ケムコ,スパイVSスパイ,"￥4,900","￥5,000代",0,1,,,,マイケル・J・リーデル,,,,🟦青,対戦,08位,-,-,
1986-05-19,-,2,ACT,日本物産,セクロス,"￥4,900","￥5,000代",0,1,,山下要介,,山下要介,,,,-,-,-,-,-,
1986-05-27,-,2,RPG,エニックス,ドラゴンクエスト,"￥5,500","￥5,500代",150,1,,中村光一,チュンソフト,鳥山明|榎本一夫|土居孝幸,すぎやまこういち,堀井雄二,千田幸信,◾黒,-,-,-,-,
1986-06-03,-,1,ACT,東芝ＥＭＩ,バードウィーク,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-06-03,-,2,SHT,データイースト,Bウイング(ビーウイング),"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,-,
1986-06-13,-,2,SHT,ハドソン,スターソルジャー,"￥4,900","￥5,000代",100,1,,,野沢勝広,山本次行,国本剛章,,,◾黒,-,-,01位,-,
1986-06-13,-,4,ACT,カプコン,魔界村,"￥5,500","￥5,500代",164,1,,,有馬俊夫,藤原得郎,森安也子,,,◾黒,-,-,-,02位,
1986-06-19,-,2,ACT,ナムコ,スーパーチャイニーズ,"￥3,900","￥4,000代",0,1,,,,,,,,-,-,-,-,-,
1986-06-26,-,2,ACT,アイレム,スクーン,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-06-26,-,2,ACT,ジャレコ,チョップリフター,"￥4,900","￥5,000代",0,1,,,,ダン・ゴーリン,,,,-,-,-,-,-,
1986-07-03,-,2,ACT,サンソフト,東海道五十三次,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-07-18,-,2,PZL,ナムコ,バベルの塔,"￥3,900","￥4,000代",0,1,,,,,,,,-,-,-,-,-,
1986-07-30,-,4,ACT,コナミ,がんばれゴエモン！からくり道中,"￥5,300","￥5,500代",0,1,,,梅崎重治|青山和浩,橋本和久,寺島里恵,,,-,-,-,-,-,
1986-07-30,-,2,PZL,テクモ,ソロモンの鍵,"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,-,
1986-08-01,-,2,RPG,ナムコ,ワルキューレの冒険時の鍵の伝説,"￥3,900","￥4,000代",0,1,,S.MACCO,A.WACHI,冨士宏,川田宏行,,,-,-,-,-,-,
1986-08-08,-,2,SPT,タイトー,六三四の剣ただいま修行中,"￥4,900","￥5,000代",0,1,,,宮成のぼる,,,,,-,対戦,13位,-,-,
1986-08-10,-,2,ACT,東映動画,北斗の拳,"￥4,900","￥5,000代",0,1,,,,,フランク・ワイルドホーン,高橋亜子,,-,-,-,-,-,
1986-08-22,-,2,ACT,ジャレコ,じゃじゃ丸の大冒険,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-08-22,-,2,ACT,ナムコ,スカイキッド,"￥3,900","￥4,000代",0,1,,,弓達公雄,永島洋武,小沢純子,,,-,-,-,-,-,
1986-08-28,-,4,SHT,バンダイ,機動戦士Zガンダムホットスクランブル,"￥5,500","￥5,500代",0,1,,遠藤雅伸,しまおかひろし|やまもとこういち,遠藤雅伸|内藤智|大河原邦男|藤田一己|永野護|小林誠,ニール・セダカ,富野由悠季,,-,-,-,-,-,
1986-09-03,-,2,SHT,SNK,ASO,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-09-05,-,4,ACT,ポニーキャニオン,スーパーピットフォール,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1986-09-08,-,2,PZL,ビクター音楽産業,バナナ,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-09-12,-,2,ACT,ハドソン,高橋名人の冒険島,"￥4,900","￥5,000代",105,1,,,,,,,,⬜白,-,-,-,03位,
1986-09-18,-,2,SHT,スクウェア,キングスナイト,"￥4,900","￥5,000代",0,1,,,Workss,,植松伸夫,,,-,-,-,-,-,
1986-09-19,-,4,SHT,ナムコ,スーパーゼビウスガンプの謎,"￥4,900","￥5,000代",0,1,,,,横山茂|小野浩(監修|一部作業),,,,-,-,-,-,-,
1986-09-22,-,2,ACT,徳間書店,ゴーストバスターズ,"￥4,500","￥4,500代",0,1,,,,,エルマー・バーンスタイン,ダン・エイクロイド|ハロルド・ライミス,,-,-,-,-,-,
1986-09-26,-,2,ADV,ケムコ,スペースハンター,"￥4,900","￥5,000代",0,1,,,道浦忍|戸野文雄,,増野宏之,,,-,-,-,-,-,
1986-09-27,-,4,SHT,日本物産,テラクレスタ,"￥4,900","￥5,000代",0,1,,,,藤原茂樹,吉田健志,,,-,-,-,-,-,
1986-09-27,-,4,ACT,カプコン,戦場の狼,"￥5,500","￥5,500代",116,1,,,,藤原得郎,河本圭代,,,-,-,-,-,-,
1986-10-08,-,2,RAC,データイースト,バギーポッパー,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-10-23,-,2,ACT,ジャレコ,うる星やつらラムのウェディングベル,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-10-30,-,2,ETC,東京書籍,けいさんゲーム算数4年,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-10-30,-,2,ETC,東京書籍,けいさんゲーム算数5・6年少数・分数のまとめ,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-10-31,-,4,ADV,ジャレコ,ミシシッピー殺人事件,"￥5,200","￥5,000代",0,1,,,,アダム・ベリン|ヒラリー・ミルス,エド・ボガス(英語版),ロブ・スウィガート,ブラッド・フレガー(英語版),🟦青,-,-,-,15位,
1986-11-11,-,4,SHT,テクモ,スーパースターフォース時空歴の秘密,"￥5,300","￥5,500代",0,1,,,,,斎藤幹雄,,,-,-,-,-,-,
1986-11-12,-,2,SPT,バンダイ,ファミリートレーナーシリーズ1アスレチックワールド,"￥8,500","￥8,500代",0,1,,,,,,,,-,-,-,-,-,
1986-11-13,-,2,TAB,河田,Othello(オセロ),"￥4,900","￥5,000代",0,1,,,,,中西ゆういちろう,鈴木光司|久保幸湖|谷井美佳|中村真夕,山崎宏太(朝日放送テレビ)|南雄大(朝日放送テレビ)|齋藤浩司(ヒューマックスシネマ)|若山佑介(ヒューマックスシネマ)|山口誠(47style),-,-,-,-,-,
1986-11-13,-,2,ACT,ハドソン,迷宮組曲ミロンの大冒険,"￥4,900","￥5,000代",0,1,,,笹川敏幸,笹川敏幸,国本剛章|井上大介,笹川敏幸,,🟨黄,-,-,-,-,
1986-11-21,-,4,ACT,ビック東海,アイギーナの予言バルバルークの伝説より,"￥5,300","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1986-11-21,-,2,RPG,バップ,元祖西遊記スーパーモンキー大冒険,"￥4,900","￥5,000代",0,1,,,,高瀬俊一|中島薫,,,,-,-,-,-,-,
1986-11-21,-,2,ACT,東映動画,長靴をはいた猫世界一周80日大冒険,"￥4,900","￥5,000代",0,1,,,,,宇野誠一郎,シャルル・ペロー,,🟥赤,-,-,-,-,
1986-11-26,-,4,ACT,ナムコ,マッピーランド,"￥3,900","￥4,000代",0,1,,,,,,,,-,-,-,-,-,
1986-11-26,-,4,ACT,ケイアミューズメントリース,怒IKARI,"￥5,500","￥5,500代",0,1,,,,伊集桂子,,,,-,-,-,-,-,
1986-11-27,-,4,ACT,バンダイ,ドラゴンボール神龍の謎,"￥5,300","￥5,500代",125,1,,,,,,,,🟦青,-,-,-,11位,
1986-11-28,-,2,PZL,アスキー,キャッスルエクセレント,"￥4,900","￥5,000代",0,1,,,,吉田功|めるへんめーかー,,,,-,-,-,-,-,
1986-12-01,-,2,SPT,バンダイ,ファミリートレーナーシリーズ2ランニングスタジアム,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-12-05,-,2,SHT,ポニーキャニオン,タイガーヘリ,"￥4,900","￥5,000代",0,1,,,,,上村建也,,,-,-,-,-,-,
